央视频道,#genre#
湖南卫视,http://123.160.112.11:80/PLTV/88888888/224/3221227021/1.m3u8
深圳卫视,http://123.160.112.11:80/PLTV/88888888/224/3221227029/1.m3u8
四川卫视,http://123.160.112.11:80/PLTV/88888888/224/3221227026/1.m3u8
湖北卫视,http://123.160.112.5:80/PLTV/88888888/224/3221227057/1.m3u8
天津卫视,http://123.160.112.6:80/PLTV/88888888/224/3221227054/1.m3u8
云南卫视,http://123.160.112.5:80/PLTV/88888888/224/3221227051/1.m3u8
重庆卫视,http://123.160.112.11:80/PLTV/88888888/224/3221227025/1.m3u8
吉林卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227022/1.m3u8
宁夏卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227019/1.m3u8
东南卫视,http://123.160.112.71:80/PLTV/88888888/224/3221227023/1.m3u8
内蒙古卫视,http://123.160.112.8:80/PLTV/88888888/224/3221227048/1.m3u8
广西卫视,http://123.160.112.7:80/PLTV/88888888/224/3221227045/1.m3u8
山西卫视,http://123.160.112.72:80/PLTV/88888888/224/3221227042/1.m3u8
海南卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227016/1.m3u8
甘肃卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227013/1.m3u8
青海卫视,http://123.160.112.9:80/PLTV/88888888/224/3221227010/1.m3u8
金鹰卡通,http://123.160.112.9:80/PLTV/88888888/224/3221227012/1.m3u8
嘉佳卡通,http://123.160.112.71:80/PLTV/88888888/224/3221226995/1.m3u8
卡酷动画,http://123.160.112.72:80/PLTV/88888888/224/3221226992/1.m3u8
炫动卡通,http://123.160.112.71:80/PLTV/88888888/224/3221227002/1.m3u8
新疆卫视,http://123.160.112.9:80/PLTV/88888888/224/3221227009/1.m3u8
西藏卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227006/1.m3u8
优曼卡通,http://123.160.112.72:80/PLTV/88888888/224/3221227031/1.m3u8
南阳新闻综合,http://123.160.112.69:80/PLTV/88888888/224/3221226963/1.m3u8
南阳公共频道,http://123.160.112.69:80/PLTV/88888888/224/3221226966/1.m3u8
南阳科教频道,http://123.160.112.69:80/PLTV/88888888/224/3221226970/1.m3u8

电信rtsp,#genre#
央视4K,http://222.85.69.145/PLTV/88888888/224/3221227244/index.m3u8
河南IPTV-导视,rtsp://222.85.69.6/PLTV/88888888/224/3221226926/10000100000000060000000001645061_0.smil
CCTV-一套,rtsp://222.85.69.145/PLTV/88888888/224/3221226404/10000100000000060000000000398492_0.smil
CCTV-二套,rtsp://222.85.69.145/PLTV/88888888/224/3221226515/10000100000000060000000000414181_0.smil
CCTV-三套,rtsp://222.85.69.145/PLTV/88888888/224/3221226401/10000100000000060000000000398495_0.smil
CCTV-四套,rtsp://222.85.69.145/PLTV/88888888/224/3221226512/10000100000000060000000000414186_0.smil
CCTV-五套,rtsp://222.85.69.141/PLTV/88888888/224/3221226533/10000100000000060000000000416356_0.smil
CCTV-六套,rtsp://222.85.69.145/PLTV/88888888/224/3221226509/10000100000000060000000000414188_0.smil
CCTV-七套,rtsp://222.85.69.145/PLTV/88888888/224/3221226539/10000100000000060000000000416354_0.smil
CCTV-八套,rtsp://222.85.69.145/PLTV/88888888/224/3221226548/10000100000000060000000000416346_0.smil
CCTV-九套,rtsp://222.85.69.145/PLTV/88888888/224/3221226545/10000100000000060000000000416347_0.smil
